"","time","S","E","I","R"
"932",10.31,114556202.739872,0.226999340610239,8.24404692589707,40.515877842144
"933",10.32,114545448.350536,0.225787288988494,8.23072255269362,40.5248157816081
"934",10.33,114534695.036585,0.224582355841652,8.21741718929808,40.5337294724212
"935",10.34,114523942.797912,0.223384499295521,8.20413082469567,40.542618965385
"936",10.35,114513191.634409,0.222193677722242,8.19086344776517,40.5514843111629
"937",10.36,114502441.545969,0.221009849738834,8.17761504727986,40.5603255602801
"938",10.37,114491692.532484,0.21983297420576,8.1643856119084,40.5691427631243
"939",10.38,114480944.593846,0.218663010225488,8.15117513021573,40.5779359699463
"940",10.39,114470197.729949,0.217499917141075,8.13798359066402,40.5867052308603
"941",10.4,114459451.940684,0.216343654534743,8.1248109816135,40.595450595845
"942",10.41,114448707.225944,0.215194182226481,8.1116572913234,40.6041721147432
"943",10.42,114437963.585622,0.214051460272639,8.09852250795279,40.6128698372635
"944",10.43,114427221.019611,0.212915448964541,8.08540661956148,40.6215438129795
"945",10.44,114416479.527802,0.211786108827104,8.07230961411089,40.6301940913315
"946",10.45,114405739.110089,0.210663400617459,8.05923147946492,40.6388207216265
"947",10.46,114394999.766364,0.209547285323593,8.0461722033908,40.6474237530384
"948",10.47,114384261.49652,0.208437724162982,8.03313177355992,40.6560032346091
"949",10.48,114373524.300449,0.207334678581245,8.02011017754874,40.6645592152489
"950",10.49,114362788.178043,0.206238110250806,8.00710740283958,40.6730917437366
"951",10.5,114352053.129197,0.205147981069551,7.99412343682148,40.6816008687204
"952",10.51,114341319.153802,0.204064253159509,7.98115826679101,40.6900866387183
"953",10.52,114330586.25175,0.202986888865531,7.96821187995314,40.6985491021186
"954",10.53,114319854.422935,0.201915850753978,7.95528426342203,40.7069883071803
"955",10.54,114309123.66725,0.200851101611421,7.94237540422184,40.7154043020337
"956",10.55,114298393.984586,0.199792604443342,7.92948528928756,40.723797134681
"957",10.56,114287665.374837,0.198740322472848,7.91661390546581,40.7321668529964
"958",10.57,114276937.837895,0.197694219139391,7.90376123951564,40.7405135047271
"959",10.58,114266211.373653,0.196654258097497,7.89092727810934,40.7488371374935
"960",10.59,114255485.982005,0.195620403215495,7.87811200783317,40.7571377987897
"961",10.6,114244761.662841,0.194592618574266,7.86531541518824,40.7654155359838
"962",10.61,114234038.416056,0.193570868465988,7.85253748659121,40.7736703963189
"963",10.62,114223316.241542,0.192555117392897,7.8397782083751,40.781902426913
"964",10.63,114212595.139192,0.191545330066047,7.82703756679007,40.7901116747599
"965",10.64,114201875.108899,0.190541471404084,7.81431554800415,40.7982981867295
"966",10.65,114191156.150555,0.189543506532025,7.80161213810403,40.8064620095681
"967",10.66,114180438.264053,0.188551400780044,7.78892732309579,40.8146031898991
"968",10.67,114169721.449286,0.187565119682263,7.7762610889057,40.8227217742237
"969",10.68,114159005.706148,0.186584628975555,7.76361342138088,40.8308178089206
"970",10.69,114148291.03453,0.185609894598351,7.75098430629013,40.8388913402472
"971",10.7,114137577.434325,0.184640882689451,7.7383737293246,40.8469424143398
"972",10.71,114126864.905427,0.183677559586849,7.72578167609857,40.8549710772138
"973",10.72,114116153.447729,0.182719891826562,7.71320813215013,40.8629773747648
"974",10.73,114105443.061122,0.18176784614146,7.70065308294194,40.8709613527682
"975",10.74,114094733.745501,0.180821389460112,7.6881165138619,40.8789230568804
"976",10.75,114084025.500758,0.179880488905635,7.67559841022394,40.8868625326387
